# Spectral Data
# f in Hz A in dBV
900.878906 -15.904588
902.343750 -15.880159
903.808594 -15.829604
905.273437 -15.776257
906.738281 -15.758819
908.203125 -15.771531
909.667969 -15.795089
911.132812 -15.786087
912.597656 -15.756048
914.062500 -15.699435
915.527344 -15.649292
916.992187 -15.635352
918.457031 -15.631672
919.921875 -15.609613
921.386719 -15.601983
922.851562 -15.575895
924.316406 -15.551880
925.781250 -15.493144
927.246094 -15.469411
928.710937 -15.428571
930.175781 -15.399316
931.640625 -15.353186
933.105469 -15.321403
934.570312 -15.273661
936.035156 -15.196692
937.500000 -15.161205
938.964844 -15.153728
940.429687 -15.126580
941.894531 -15.113677
943.359375 -15.085599
944.824219 -15.045009
946.289062 -14.988675
947.753906 -14.949687
949.218750 -14.893944
950.683594 -14.843435
952.148437 -14.767061
953.613281 -14.699916
955.078125 -14.640610
956.542969 -14.601296
958.007812 -14.583182
959.472656 -14.532902
960.937500 -14.486634
962.402344 -14.454832
963.867187 -14.422651
965.332031 -14.372308
966.796875 -14.345687
968.261719 -14.310612
969.726562 -14.247195
971.191406 -14.230839
972.656250 -14.166379
974.121094 -14.127384
975.585937 -14.102328
977.050781 -14.091602
978.515625 -14.123364
979.980469 -14.171426
981.445312 -14.217740
982.910156 -14.259100
984.375000 -14.308363
985.839844 -14.402598
987.304687 -14.502708
988.769531 -14.575849
990.234375 -14.642174
991.699219 -14.760797
993.164062 -14.875501
994.628906 -14.977109
996.093750 -15.062416
997.558594 -15.154099
